"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000126231","HAVANA","gene",NA,NA,"ENSG00000126231","protein_coding","PROZ","2","HGNC:9460","OTTHUMG00000017376.4"
"ENSG00000126233","HAVANA","gene",NA,NA,"ENSG00000126233","protein_coding","SLURP1","2","HGNC:18746","OTTHUMG00000164685.2"
"ENSG00000126243","HAVANA","gene",NA,NA,"ENSG00000126243","protein_coding","LRFN3","2","HGNC:28370","OTTHUMG00000181740.3"
"ENSG00000126246","HAVANA","gene",NA,NA,"ENSG00000126246","protein_coding","IGFLR1","1","HGNC:23620","OTTHUMG00000182064.7"
"ENSG00000126247","HAVANA","gene",NA,NA,"ENSG00000126247","protein_coding","CAPNS1","2","HGNC:1481","OTTHUMG00000160811.10"
"ENSG00000126249","HAVANA","gene",NA,NA,"ENSG00000126249","protein_coding","PDCD2L","1","HGNC:28194","OTTHUMG00000182089.4"
"ENSG00000126254","HAVANA","gene",NA,NA,"ENSG00000126254","protein_coding","RBM42","2","HGNC:28117","OTTHUMG00000182063.3"
"ENSG00000126259","HAVANA","gene",NA,NA,"ENSG00000126259","protein_coding","KIRREL2","2","HGNC:18816","OTTHUMG00000180691.7"
"ENSG00000126261","HAVANA","gene",NA,NA,"ENSG00000126261","protein_coding","UBA2","2","HGNC:30661","OTTHUMG00000182090.8"
"ENSG00000126262","HAVANA","gene",NA,NA,"ENSG00000126262","protein_coding","FFAR2","2","HGNC:4501","OTTHUMG00000183303.3"
"ENSG00000126264","HAVANA","gene",NA,NA,"ENSG00000126264","protein_coding","HCST","2","HGNC:16977","OTTHUMG00000048132.4"
"ENSG00000126266","HAVANA","gene",NA,NA,"ENSG00000126266","protein_coding","FFAR1","2","HGNC:4498","OTTHUMG00000188261.1"
"ENSG00000126267","HAVANA","gene",NA,NA,"ENSG00000126267","protein_coding","COX6B1","1","HGNC:2280","OTTHUMG00000048112.8"
"ENSG00000126351","HAVANA","gene",NA,NA,"ENSG00000126351","protein_coding","THRA","2","HGNC:11796","OTTHUMG00000133332.3"
"ENSG00000126353","HAVANA","gene",NA,NA,"ENSG00000126353","protein_coding","CCR7","2","HGNC:1608","OTTHUMG00000133375.5"
"ENSG00000126368","HAVANA","gene",NA,NA,"ENSG00000126368","protein_coding","NR1D1","2","HGNC:7962","OTTHUMG00000133327.3"
"ENSG00000126391","HAVANA","gene",NA,NA,"ENSG00000126391","protein_coding","FRMD8","2","HGNC:25462","OTTHUMG00000166275.4"
"ENSG00000126432","HAVANA","gene",NA,NA,"ENSG00000126432","protein_coding","PRDX5","2","HGNC:9355","OTTHUMG00000168805.3"
"ENSG00000126453","HAVANA","gene",NA,NA,"ENSG00000126453","protein_coding","BCL2L12","1","HGNC:13787","OTTHUMG00000183239.2"
"ENSG00000126456","HAVANA","gene",NA,NA,"ENSG00000126456","protein_coding","IRF3","1","HGNC:6118","OTTHUMG00000183287.3"
"ENSG00000126457","HAVANA","gene",NA,NA,"ENSG00000126457","protein_coding","PRMT1","2","HGNC:5187","OTTHUMG00000167568.3"
"ENSG00000126458","HAVANA","gene",NA,NA,"ENSG00000126458","protein_coding","RRAS","2","HGNC:10447","OTTHUMG00000183247.2"
"ENSG00000126460","HAVANA","gene",NA,NA,"ENSG00000126460","protein_coding","PRRG2","2","HGNC:9470","OTTHUMG00000183153.3"
"ENSG00000126461","HAVANA","gene",NA,NA,"ENSG00000126461","protein_coding","SCAF1","2","HGNC:30403","OTTHUMG00000183238.3"
"ENSG00000126464","HAVANA","gene",NA,NA,"ENSG00000126464","protein_coding","PRR12","1","HGNC:29217","OTTHUMG00000183275.3"
"ENSG00000126467","HAVANA","gene",NA,NA,"ENSG00000126467","protein_coding","TSKS","2","HGNC:30719","OTTHUMG00000183249.3"
"ENSG00000126500","HAVANA","gene",NA,NA,"ENSG00000126500","protein_coding","FLRT1","2","HGNC:3760","OTTHUMG00000167788.2"
"ENSG00000126522","HAVANA","gene",NA,NA,"ENSG00000126522","protein_coding","ASL","1","HGNC:746","OTTHUMG00000022876.13"
"ENSG00000126524","HAVANA","gene",NA,NA,"ENSG00000126524","protein_coding","SBDS","2","HGNC:19440","OTTHUMG00000023165.4"
"ENSG00000126561","HAVANA","gene",NA,NA,"ENSG00000126561","protein_coding","STAT5A","1","HGNC:11366","OTTHUMG00000150725.6"
"ENSG00000126562","HAVANA","gene",NA,NA,"ENSG00000126562","protein_coding","WNK4","2","HGNC:14544","OTTHUMG00000180650.3"
"ENSG00000126581","HAVANA","gene",NA,NA,"ENSG00000126581","protein_coding","BECN1","1","HGNC:1034","OTTHUMG00000180653.6"
"ENSG00000126583","HAVANA","gene",NA,NA,"ENSG00000126583","protein_coding","PRKCG","1","HGNC:9402","OTTHUMG00000064846.9"
"ENSG00000126602","HAVANA","gene",NA,NA,"ENSG00000126602","protein_coding","TRAP1","2","HGNC:16264","OTTHUMG00000129427.4"
"ENSG00000126603","HAVANA","gene",NA,NA,"ENSG00000126603","protein_coding","GLIS2","2","HGNC:29450","OTTHUMG00000129467.1"
"ENSG00000126653","HAVANA","gene",NA,NA,"ENSG00000126653","protein_coding","NSRP1","2","HGNC:25305","OTTHUMG00000132754.8"
"ENSG00000126698","HAVANA","gene",NA,NA,"ENSG00000126698","protein_coding","DNAJC8","1","HGNC:15470","OTTHUMG00000003538.4"
"ENSG00000126705","HAVANA","gene",NA,NA,"ENSG00000126705","protein_coding","AHDC1","2","HGNC:25230","OTTHUMG00000003398.7"
"ENSG00000126709","HAVANA","gene",NA,NA,"ENSG00000126709","protein_coding","IFI6","2","HGNC:4054","OTTHUMG00000003518.2"
"ENSG00000126733","HAVANA","gene",NA,NA,"ENSG00000126733","protein_coding","DACH2","2","HGNC:16814","OTTHUMG00000021944.4"
"ENSG00000126746","HAVANA","gene",NA,NA,"ENSG00000126746","protein_coding","ZNF384","1","HGNC:11955","OTTHUMG00000168716.5"
"ENSG00000126749","HAVANA","gene",NA,NA,"ENSG00000126749","protein_coding","EMG1","2","HGNC:16912","OTTHUMG00000188247.3"
"ENSG00000126752","HAVANA","gene",NA,NA,"ENSG00000126752","protein_coding","SSX1","2","HGNC:11335","OTTHUMG00000021488.1"
"ENSG00000126756","HAVANA","gene",NA,NA,"ENSG00000126756","protein_coding","UXT","2","HGNC:12641","OTTHUMG00000021453.4"
"ENSG00000126759","HAVANA","gene",NA,NA,"ENSG00000126759","protein_coding","CFP","2","HGNC:8864","OTTHUMG00000021451.6"
"ENSG00000126767","HAVANA","gene",NA,NA,"ENSG00000126767","protein_coding","ELK1","2","HGNC:3321","OTTHUMG00000021452.4"
"ENSG00000126768","HAVANA","gene",NA,NA,"ENSG00000126768","protein_coding","TIMM17B","2","HGNC:17310","OTTHUMG00000034498.6"
"ENSG00000126773","HAVANA","gene",NA,NA,"ENSG00000126773","protein_coding","PCNX4","2","HGNC:20349","OTTHUMG00000150361.6"
"ENSG00000126775","HAVANA","gene",NA,NA,"ENSG00000126775","protein_coding","ATG14","2","HGNC:19962","OTTHUMG00000172129.2"
"ENSG00000126777","HAVANA","gene",NA,NA,"ENSG00000126777","protein_coding","KTN1","1","HGNC:6467","OTTHUMG00000140312.7"
"ENSG00000126778","HAVANA","gene",NA,NA,"ENSG00000126778","protein_coding","SIX1","1","HGNC:10887","OTTHUMG00000140334.9"
"ENSG00000126785","HAVANA","gene",NA,NA,"ENSG00000126785","protein_coding","RHOJ","2","HGNC:688","OTTHUMG00000140342.6"
"ENSG00000126787","HAVANA","gene",NA,NA,"ENSG00000126787","protein_coding","DLGAP5","1","HGNC:16864","OTTHUMG00000140310.3"
"ENSG00000126790","HAVANA","gene",NA,NA,"ENSG00000126790","protein_coding","L3HYPDH","1","HGNC:20488","OTTHUMG00000028941.11"
"ENSG00000126803","HAVANA","gene",NA,NA,"ENSG00000126803","protein_coding","HSPA2","2","HGNC:5235","OTTHUMG00000141311.4"
"ENSG00000126804","HAVANA","gene",NA,NA,"ENSG00000126804","protein_coding","ZBTB1","2","HGNC:20259","OTTHUMG00000171147.3"
"ENSG00000126814","HAVANA","gene",NA,NA,"ENSG00000126814","protein_coding","TRMT5","1","HGNC:23141","OTTHUMG00000171294.4"
"ENSG00000126821","HAVANA","gene",NA,NA,"ENSG00000126821","protein_coding","SGPP1","2","HGNC:17720","OTTHUMG00000029080.4"
"ENSG00000126822","HAVANA","gene",NA,NA,"ENSG00000126822","protein_coding","PLEKHG3","1","HGNC:20364","OTTHUMG00000029671.12"
"ENSG00000126838","HAVANA","gene",NA,NA,"ENSG00000126838","protein_coding","PZP","2","HGNC:9750","OTTHUMG00000154915.3"
"ENSG00000126858","HAVANA","gene",NA,NA,"ENSG00000126858","protein_coding","RHOT1","2","HGNC:21168","OTTHUMG00000179564.6"
"ENSG00000126860","HAVANA","gene",NA,NA,"ENSG00000126860","protein_coding","EVI2A","2","HGNC:3499","OTTHUMG00000159306.3"
